date,best_rate,best_lender,best_fee,best_two_year_cost,cheapest_two_year_lender,cheapest_two_year_rate,cheapest_two_year_fee,cheapest_two_year_cost,halifax,nationwide,natwest,barclays,lloyds,swap_2y
2026-03-17,4.71,Lloyds Bank,,,,,,,4.81,,4.91,4.83,,4.203
2026-03-18,4.71,Lloyds Bank,,,,,,,4.81,,4.91,4.83,,4.202
2026-03-19,4.7,Lloyds Bank,,,,,,,4.8,,4.9,4.82,,4.201
2026-03-20,4.7,Lloyds Bank,,,,,,,4.8,,4.9,4.82,,4.2
2026-03-23,4.69,Lloyds Bank,,,,,,,4.79,,4.89,4.81,,4.197
2026-03-24,4.69,Lloyds Bank,,,,,,,4.79,,4.89,4.81,,4.196
2026-03-25,4.69,Lloyds Bank,,,,,,,4.79,,4.89,4.81,,4.194
2026-03-26,4.68,Lloyds Bank,,,,,,,4.78,,4.88,4.8,,4.193
2026-03-27,4.68,Lloyds Bank,,,,,,,4.78,,4.88,4.8,,4.192
2026-03-30,4.67,Lloyds Bank,,,,,,,4.77,,4.87,4.79,,4.189
2026-03-31,4.67,Lloyds Bank,,,,,,,4.77,,4.87,4.79,,4.188
2026-04-01,4.67,Lloyds Bank,,,,,,,4.77,,4.87,4.79,,4.187
2026-04-02,4.66,Lloyds Bank,,,,,,,4.76,,4.86,4.78,,4.186
2026-04-03,4.66,Lloyds Bank,,,,,,,4.76,,4.86,4.78,,4.184
2026-04-06,4.65,Lloyds Bank,,,,,,,4.75,,4.85,4.77,,4.181
2026-04-07,4.65,Lloyds Bank,,,,,,,4.75,,4.85,4.77,,4.18
2026-04-08,4.65,Lloyds Bank,,,,,,,4.75,,4.85,4.77,,4.179
2026-04-09,4.64,Lloyds Bank,,,,,,,4.74,,4.84,4.76,,4.178
2026-04-10,4.64,Lloyds Bank,,,,,,,4.74,,4.84,4.76,,4.177
2026-04-13,4.63,Lloyds Bank,,,,,,,4.73,,4.83,4.75,,4.173
2026-04-14,4.63,Lloyds Bank,,,,,,,4.73,,4.83,4.75,,4.172
2026-04-15,4.63,Lloyds Bank,,,,,,,4.73,,4.83,4.75,,4.171
2026-04-16,4.62,Lloyds Bank,,,,,,,4.72,,4.82,4.74,,4.17
2026-04-17,4.62,Lloyds Bank,,,,,,,4.72,,4.82,4.74,,4.169
2026-04-20,4.61,Lloyds Bank,,,,,,,4.71,,4.81,4.73,,4.166
2026-04-21,4.61,Lloyds Bank,,,,,,,4.71,,4.81,4.73,,4.164
2026-04-22,4.61,Lloyds Bank,,,,,,,4.71,,4.81,4.73,,4.163
2026-04-23,4.61,Lloyds Bank,,,,,,,4.71,,4.81,4.73,,4.162
2026-04-24,4.6,Lloyds Bank,,,,,,,4.7,,4.8,4.72,,4.161
2026-04-28,4.6,Lloyds Bank,,,,,,,4.7,,4.9,4.75,,4.16
2026-05-19,4.32,Chorley Building Society,0.0,40859.407985496815,Chorley Building Society,4.32,0.0,40859.407985496815,4.7,,4.69,4.75,4.6,
2026-05-20,4.32,Chorley Building Society,0.0,40859.407985496815,Chorley Building Society,4.32,0.0,40859.407985496815,4.64,,4.69,4.75,4.54,
2026-06-01,4.51,Lloyds Bank,999.0,42662.249469045506,Lloyds Bank,4.51,999.0,42662.249469045506,4.61,,4.69,4.75,4.51,
2026-06-08,4.56,Lloyds Bank,999.0,42875.158995767415,Lloyds Bank,4.56,999.0,42875.158995767415,4.61,,4.65,4.75,4.56,
